measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,ambient_temp_f__2688,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,module_temp_f__2689,poa_irradiance__2679,power_factor_1000__2693,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691,system_id
2019-01-23 00:00:00,0.0,-200.0,283.0,,0.0,-200.0,14.0,0.0,29.0,0.1000014080000006,0.0,0.0,36.075,351.585,0.01966976,34
2019-01-23 00:15:00,0.0,-300.0,283.0,,0.0,0.0,14.0,0.0,29.0,-0.9833320119999982,0.0,0.0,36.775,351.585,0.0138582399999999,34
2019-01-23 00:30:00,0.0,-200.0,283.0,,0.0,-200.0,15.0,0.0,28.0,-1.2888875919999985,0.0,0.0,38.6,351.607,0.0138582399999999,34
2019-01-23 00:45:00,0.0,-300.0,283.0,,0.0,0.0,15.0,0.0,28.0,-0.3722208519999981,0.0,0.0,40.431,351.607,0.01966976,34
2019-01-23 01:00:00,0.0,-300.0,283.0,,0.0,-200.0,16.0,0.0,28.0,,,0.0,,,,34
2019-01-23 01:00:01,,,,,,,,,,-0.0833319399999972,0.0,,39.5,351.607,0.0420217599999999,34
2019-01-23 01:15:00,0.0,-200.0,283.0,,0.0,-200.0,15.0,0.0,28.0,,,0.0,,,,34
2019-01-23 01:15:01,,,,,,,,,,-0.1555541679999983,,,40.175,351.607,0.01966976,34
2019-01-23 01:30:00,0.0,-300.0,283.0,,0.0,-200.0,16.0,0.0,27.0,-0.8999986719999988,,0.0,43.731,351.607,0.0138582399999999,34
2019-01-23 01:45:00,0.0,-200.0,284.0,,0.0,-200.0,16.0,0.0,27.0,,,0.0,,,,34
2019-01-23 01:45:01,,,,,,,,,,-1.0499986839999984,0.0,,41.156000000000006,351.607,0.0138582399999999,34
2019-01-23 02:00:00,0.0,-200.0,283.0,,0.0,-200.0,16.0,0.0,27.0,,,0.0,,,,34
2019-01-23 02:00:01,,,,,,,,,,-1.0055542359999985,0.0,,40.912,351.607,0.0138582399999999,34
2019-01-23 02:15:00,0.0,-300.0,284.0,,0.0,-200.0,16.0,0.0,27.0,-1.533332055999999,0.0,0.0,45.494,351.63,0.0138582399999999,34
2019-01-23 02:30:00,0.0,-200.0,283.0,,0.0,-200.0,16.0,0.0,26.0,,,0.0,,,,34
2019-01-23 02:30:01,,,,,,,,,,-2.633332143999997,0.0,,48.138000000000005,351.63,0.0138582399999999,34
2019-01-23 02:45:00,0.0,-200.0,283.0,,0.0,-200.0,16.0,0.0,26.0,-3.5833322199999973,0.0,0.0,49.087,351.653,0.0138582399999999,34
2019-01-23 03:00:00,0.0,-200.0,283.0,,0.0,0.0,15.0,0.0,26.0,-3.6777766719999994,0.0,0.0,50.944,351.675,0.0138582399999999,34
2019-01-23 03:15:00,0.0,-300.0,283.0,,0.0,-200.0,15.0,0.0,26.0,,,0.0,,,,34
2019-01-23 03:15:01,,,,,,,,,,-3.4055544279999967,0.0,,48.675,351.653,0.0138582399999999,34
2019-01-23 03:30:00,0.0,-300.0,283.0,,0.0,-200.0,14.0,0.0,26.0,,,0.0,,,,34
2019-01-23 03:30:01,,,,,,,,,,-2.8222210479999976,,,46.981,351.653,0.0138582399999999,34
2019-01-23 03:45:00,0.0,-200.0,282.0,,0.0,-200.0,14.0,0.0,25.0,,,0.0,,,,34
