measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,ambient_temp_f__2688,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,module_temp_f__2689,poa_irradiance__2679,power_factor_1000__2693,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691,system_id
2019-02-27 00:00:00,3.0,-1000.0,284.0,,0.0,0.0,296.0,0.0,49.0,,,0.269,,,,34
2019-02-27 00:00:01,,,,,,,,,,6.3222241280000055,0.0,,56.788,351.45,0.0,34
2019-02-27 00:15:00,3.0,-900.0,283.0,,0.0,0.0,295.0,0.0,48.0,7.038890852000005,0.0,0.23,55.181,351.45,0.0,34
2019-02-27 00:30:00,3.0,-900.0,284.0,,0.0,0.0,296.0,0.0,48.0,7.183335308000004,0.098,0.23,53.406000000000006,351.45,0.0,34
2019-02-27 00:45:00,3.0,-1000.0,284.0,,0.0,0.0,296.0,0.0,48.0,5.383335164000002,0.0,0.269,57.219,351.45,0.0,34
2019-02-27 01:00:00,3.0,-900.0,284.0,,0.0,0.0,296.0,0.0,48.0,5.283335156,0.0,0.23,58.975,351.472,0.0,34
2019-02-27 01:15:00,3.0,-900.0,283.0,,0.0,0.0,295.0,0.0,48.0,5.9888907680000045,0.098,0.23,58.05,351.45,0.0,34
2019-02-27 01:30:00,3.0,-900.0,283.0,,0.0,0.0,295.0,0.0,48.0,6.044446328000002,0.0,0.23,57.288,351.472,0.0,34
2019-02-27 01:45:00,3.0,-700.0,283.0,,0.0,0.0,295.0,0.0,47.0,5.644446296000002,0.0,0.192,58.644,351.472,0.0,34
2019-02-27 02:00:00,3.0,-900.0,282.0,,0.0,0.0,295.0,0.0,47.0,5.394446276000004,0.098,0.23,62.119,351.495,0.0,34
2019-02-27 02:15:00,3.0,-900.0,282.0,,0.0,0.0,294.0,0.0,47.0,5.355557384000004,0.0,0.23,62.188,351.495,0.0,34
2019-02-27 02:30:00,3.0,-900.0,282.0,,0.0,0.0,294.0,0.0,47.0,4.7277795560000015,0.098,0.239,61.013000000000005,351.495,0.0,34
