measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,module_temp_f__2689,poa_irradiance__2679,power_factor_1000__2693,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691,system_id
2019-02-22 00:00:00,3.0,-900.0,285.0,0.0,0.0,296.0,0.0,47.0,,,0.23,,,,34
2019-02-22 00:00:01,,,,,,,,,-0.6277764279999971,,,97.431,351.63,0.0169875199999999,34
2019-02-22 00:15:00,3.0,-900.0,284.0,0.0,-200.0,295.0,0.0,47.0,,,0.23,,,,34
2019-02-22 00:15:01,,,,,,,,,-0.8555542239999987,0.0,,97.788,351.653,0.0138582399999999,34
2019-02-22 00:30:00,3.0,-900.0,284.0,0.0,0.0,297.0,0.0,47.0,-1.122220911999996,0.0,0.23,97.881,351.653,0.0138582399999999,34
2019-02-22 00:45:00,3.0,-700.0,282.0,0.0,100.0,294.0,0.0,47.0,-1.1277764679999969,0.0,0.199,97.569,351.653,0.0138582399999999,34
2019-02-22 01:00:00,3.0,-900.0,283.0,0.0,0.0,294.0,0.0,47.0,-1.3277764839999977,0.0,0.239,94.556,351.69800000000004,0.0,34
2019-02-22 01:15:00,3.0,-900.0,282.0,0.0,0.0,293.0,0.0,47.0,,,0.23,,,,34
2019-02-22 01:15:01,,,,,,,,,-1.1111097999999977,,,84.525,351.69800000000004,0.1510995199999999,34
2019-02-22 01:30:00,3.0,-900.0,282.0,0.0,-200.0,293.0,0.0,46.0,,,0.239,,,,34
2019-02-22 01:30:01,,,,,,,,,-0.2388875079999976,0.0,,70.71300000000001,351.69800000000004,0.24318976,34
2019-02-22 01:45:00,3.0,-900.0,282.0,0.0,0.0,294.0,0.0,46.0,-0.377776407999999,0.0,0.239,71.956,351.675,0.11176,34
2019-02-22 02:00:00,3.0,-900.0,282.0,0.0,-200.0,294.0,0.0,46.0,-0.4777764159999975,0.0,0.23,70.23100000000001,351.675,0.2628595199999999,34
2019-02-22 02:15:00,3.0,-900.0,282.0,0.0,100.0,294.0,0.0,46.0,-0.4499986359999965,0.0,0.23,67.712,351.675,0.2820822399999999,34
2019-02-22 02:30:00,3.0,-900.0,283.0,0.0,0.0,295.0,0.0,46.0,-0.3999986319999955,0.0,0.23,66.681,351.675,0.32678624,34
2019-02-22 02:45:00,3.0,-900.0,283.0,0.0,0.0,294.0,0.0,46.0,-0.611109759999998,0.0,0.23,67.98100000000001,351.69800000000004,0.11712448,34
2019-02-22 03:00:00,3.0,-900.0,282.0,0.0,0.0,294.0,0.0,46.0,,,0.23,,,,34
