measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,module_temp_f__2689,poa_irradiance__2679,power_factor_1000__2693,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691,system_id
2019-01-19 00:00:00,0.0,-300.0,285.0,0.0,-200.0,17.0,0.0,28.0,4.255557295999999,0.2929999999999999,0.0,58.625,351.51800000000003,0.0,34
2019-01-19 00:15:00,0.0,-200.0,285.0,0.0,-200.0,15.0,0.0,28.0,3.3055572200000043,0.195,0.0,65.131,351.51800000000003,0.0,34
2019-01-19 00:30:00,0.0,-200.0,285.0,0.0,-200.0,14.0,0.0,28.0,,,0.0,,,,34
2019-01-19 00:30:01,,,,,,,,,2.4444460400000025,0.098,,68.1,351.54,0.0,34
2019-01-19 00:45:00,0.0,-200.0,285.0,0.0,-200.0,15.0,0.0,27.0,2.9444460800000023,0.195,0.0,70.488,351.54,0.0,34
2019-01-19 01:00:00,0.0,-200.0,285.0,0.0,-200.0,13.0,0.0,27.0,3.1166683160000015,,0.0,69.4,351.54,0.0,34
2019-01-19 01:15:00,0.0,-300.0,285.0,0.0,-200.0,12.0,0.0,27.0,2.077779344000003,,0.0,71.58800000000001,351.54,0.0,34
2019-01-19 01:30:00,0.0,-200.0,285.0,0.0,-200.0,11.0,0.0,27.0,1.3500015080000018,0.195,0.0,73.994,351.56300000000005,0.0,34
2019-01-19 01:45:00,0.0,-300.0,285.0,0.0,-200.0,12.0,0.0,27.0,,,0.0,,,,34
2019-01-19 01:45:01,,,,,,,,,1.294445948,0.195,,76.15,351.56300000000005,0.0,34
2019-01-19 02:00:00,0.0,-300.0,285.0,0.0,-200.0,13.0,0.0,26.0,,,0.0,,,,34
2019-01-19 02:00:01,,,,,,,,,1.1055570440000049,0.098,,76.66899999999998,351.56300000000005,0.0,34
