measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,ambient_temp_f__2688,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,module_temp_f__2689,poa_irradiance__2679,power_factor_1000__2693,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691,system_id
2019-02-28 00:00:00,3.0,-900.0,284.0,,0.0,0.0,295.0,0.0,50.0,15.266669288,0.0,0.239,54.769,351.24800000000005,0.64552576,34
2019-02-28 00:15:00,3.0,-900.0,283.0,,0.0,100.0,296.0,0.0,50.0,15.372224852000006,,0.23,55.113,351.24800000000005,2.4698960000000003,34
2019-02-28 00:30:00,3.0,-900.0,283.0,,0.0,0.0,295.0,0.0,49.0,15.577780424,0.0,0.23,54.981,351.24800000000005,2.79668224,34
2019-02-28 00:45:00,3.0,-900.0,283.0,,0.0,0.0,296.0,0.0,49.0,15.511113752000004,,0.23,55.188,351.27,2.43368576,34
2019-02-28 01:00:00,3.0,-900.0,283.0,,0.0,0.0,295.0,0.0,49.0,,,0.239,,,,34
2019-02-28 01:00:01,,,,,,,,,,15.555558200000004,0.0,,55.044,351.24800000000005,2.6992275199999995,34
2019-02-28 01:15:00,3.0,-900.0,284.0,,0.0,0.0,296.0,0.0,48.0,15.600002648000004,0.0,0.23,54.95,351.24800000000005,3.453384,34
2019-02-28 01:30:00,3.0,-900.0,284.0,,0.0,0.0,295.0,0.0,48.0,15.661113764000005,0.0,0.239,54.788,351.24800000000005,3.31658976,34
2019-02-28 01:45:00,3.0,-900.0,284.0,,0.0,0.0,296.0,0.0,48.0,,,0.23,,,,34
2019-02-28 01:45:01,,,,,,,,,,15.522224864000004,0.0,,55.175,351.27,2.872232,34
2019-02-28 02:00:00,3.0,-900.0,284.0,,0.0,0.0,295.0,0.0,48.0,15.583335980000005,0.0,0.23,54.844,351.27,2.83333952,34
2019-02-28 02:15:00,3.0,-900.0,283.0,,0.0,0.0,296.0,0.0,48.0,15.538891532000005,0.0,0.239,55.538,351.27,2.9419702400000003,34
2019-02-28 02:30:00,3.0,-900.0,283.0,,0.0,0.0,294.0,0.0,48.0,15.344447072000005,0.0,0.239,56.663,351.27,1.832864,34
