measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,ambient_temp_f__2688,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,module_temp_f__2689,poa_irradiance__2679,power_factor_1000__2693,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691,system_id
2019-02-08 00:00:00,0.0,-300.0,284.0,,0.0,-200.0,4.0,0.0,30.0,,,0.0,,,,34
2019-02-08 00:00:01,,,,,,,,,,-4.3111100559999995,0.0,,55.031000000000006,351.63,0.0138582399999999,34
2019-02-08 00:15:00,0.0,-300.0,283.0,,0.0,-200.0,4.0,0.0,30.0,-5.738887947999997,0.0,0.0,59.2,351.653,0.0138582399999999,34
2019-02-08 00:30:00,0.0,-300.0,283.0,,0.0,-200.0,4.0,0.0,29.0,-5.461110147999998,0.0,0.0,60.725,351.675,0.0,34
2019-02-08 00:45:00,0.0,-200.0,284.0,,0.0,-200.0,4.0,0.0,29.0,,,0.0,,,,34
2019-02-08 00:45:01,,,,,,,,,,-5.344443471999998,0.0,,60.556,351.69800000000004,0.0,34
2019-02-08 01:00:00,0.0,-200.0,284.0,,0.0,-200.0,4.0,0.0,29.0,,,0.0,,,,34
2019-02-08 01:00:01,,,,,,,,,,-5.905554627999996,,,61.831,351.69800000000004,0.0,34
2019-02-08 01:15:00,0.0,-200.0,284.0,,0.0,-200.0,4.0,0.0,28.0,-7.027776939999997,0.0,0.0,63.15,351.69800000000004,0.0,34
2019-02-08 01:30:00,0.0,-300.0,284.0,,0.0,-200.0,4.0,0.0,28.0,,,0.0,,,,34
2019-02-08 01:30:01,,,,,,,,,,-7.166665839999997,0.0,,61.806,351.69800000000004,0.0,34
2019-02-08 01:45:00,0.0,-300.0,284.0,,0.0,-200.0,4.0,0.0,28.0,-6.699999135999997,0.0,0.0,63.938,351.72,0.0,34
2019-02-08 02:00:00,0.0,-300.0,284.0,,0.0,-200.0,4.0,0.0,28.0,-6.366665776,0.0,0.0,64.76899999999999,351.72,0.0,34
2019-02-08 02:15:00,0.0,-200.0,283.0,,0.0,-200.0,4.0,0.0,27.0,-7.266665847999997,0.0,0.0,65.3,351.74300000000005,0.0,34
2019-02-08 02:30:00,0.0,-200.0,284.0,,0.0,-200.0,4.0,0.0,27.0,,,0.0,,,,34
