measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,module_temp_f__2689,poa_irradiance__2679,power_factor_1000__2693,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691,system_id
2019-01-18 00:00:00,0.0,-300.0,285.0,0.0,-200.0,13.0,0.0,27.0,7.555557560000004,0.098,0.0,85.46899999999998,351.42800000000005,0.03084576,34
2019-01-18 00:15:00,0.0,-200.0,285.0,0.0,-200.0,17.0,0.0,27.0,,,0.0,,,,34
2019-01-18 00:15:01,,,,,,,,,7.822224248000001,0.0,,84.875,351.45,0.03084576,34
2019-01-18 00:30:00,0.0,-300.0,284.0,0.0,-200.0,9.0,0.0,27.0,,,0.0,,,,34
2019-01-18 00:30:01,,,,,,,,,8.300002064000001,0.098,,84.462,351.42800000000005,0.03084576,34
2019-01-18 00:45:00,0.0,-200.0,285.0,0.0,-200.0,10.0,0.0,26.0,,,0.0,,,,34
2019-01-18 00:45:01,,,,,,,,,7.833335360000003,0.0,,85.39399999999998,351.42800000000005,0.03084576,34
2019-01-18 01:00:00,0.0,-300.0,285.0,0.0,-200.0,10.0,0.0,26.0,7.155557528000003,0.098,0.0,86.825,351.45,0.03084576,34
2019-01-18 01:15:00,0.0,-300.0,285.0,0.0,-200.0,11.0,0.0,26.0,6.600001928000005,0.098,0.0,86.387,351.45,0.03084576,34
2019-01-18 01:30:00,0.0,-300.0,284.0,0.0,-200.0,9.0,0.0,26.0,,,0.0,,,,34
2019-01-18 01:30:01,,,,,,,,,6.683335268000004,0.098,,87.256,351.45,0.03084576,34
2019-01-18 01:45:00,0.0,-200.0,284.0,0.0,-200.0,8.0,0.0,26.0,7.427779772000002,0.098,0.0,85.956,351.472,0.03084576,34
2019-01-18 02:00:00,0.0,-300.0,284.0,0.0,-200.0,7.0,0.0,25.0,7.333335320000003,0.0,0.0,86.988,351.45,0.03084576,34
2019-01-18 02:15:00,0.0,-200.0,283.0,0.0,-200.0,9.0,0.0,25.0,7.6055575640000015,0.098,0.0,89.206,351.45,0.03084576,34
2019-01-18 02:30:00,0.0,-300.0,284.0,0.0,0.0,8.0,0.0,25.0,,,0.0,,,,34
2019-01-18 02:30:01,,,,,,,,,7.6055575640000015,0.0,,90.844,351.45,0.03084576,34
2019-01-18 02:45:00,0.0,-300.0,284.0,0.0,-200.0,5.0,0.0,25.0,6.866668616000002,0.0,0.0,91.006,351.472,0.03084576,34
2019-01-18 03:00:00,0.0,-200.0,284.0,0.0,-200.0,5.0,0.0,25.0,6.444446360000004,0.0,0.0,92.712,351.495,0.03084576,34
2019-01-18 03:15:00,0.0,-300.0,283.0,0.0,-200.0,4.0,0.0,25.0,5.494446284000001,,0.0,92.913,351.495,0.03084576,34
