measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,module_temp_f__2689,poa_irradiance__2679,power_factor_1000__2693,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691,system_id
2019-02-03 00:00:00,0.0,-300.0,285.0,0.0,-200.0,3.0,0.0,25.0,8.927779892000004,0.098,0.0,60.738,351.45,0.58696352,34
2019-02-03 00:15:00,0.0,-200.0,285.0,0.0,-200.0,3.0,0.0,25.0,,,0.0,,,,34
2019-02-03 00:15:01,,,,,,,,,8.738890988000001,0.098,,62.125,351.42800000000005,0.961136,34
2019-02-03 00:30:00,0.0,-200.0,285.0,0.0,-200.0,3.0,0.0,25.0,8.677779872000002,0.098,0.0,65.156,351.45,0.6929119999999999,34
2019-02-03 00:45:00,0.0,-300.0,285.0,0.0,-200.0,4.0,0.0,25.0,8.461113188000002,0.0,0.0,66.175,351.45,0.6929119999999999,34
2019-02-03 01:00:00,0.0,-200.0,285.0,0.0,-200.0,4.0,0.0,24.0,8.666668760000006,0.098,0.0,62.994,351.45,1.02550976,34
2019-02-03 01:15:00,0.0,-300.0,285.0,0.0,-200.0,3.0,0.0,24.0,,,0.0,,,,34
2019-02-03 01:15:01,,,,,,,,,8.583335420000003,0.195,,61.838,351.45,0.39116,34
2019-02-03 01:30:00,0.0,-200.0,285.0,0.0,-200.0,3.0,0.0,24.0,,,0.0,,,,34
2019-02-03 01:30:01,,,,,,,,,7.227779756,,,66.044,351.472,0.03084576,34
2019-02-03 01:45:00,0.0,-200.0,285.0,0.0,-200.0,4.0,0.0,24.0,6.511113032000001,0.195,0.0,70.238,351.472,0.03084576,34
2019-02-03 02:00:00,0.0,-200.0,283.0,0.0,-200.0,4.0,0.0,24.0,5.961112988,0.098,0.0,71.131,351.495,0.03084576,34
2019-02-03 02:15:00,0.0,-200.0,284.0,0.0,-200.0,4.0,0.0,24.0,,,0.0,,,,34
2019-02-03 02:15:01,,,,,,,,,6.611113040000002,0.195,,61.575,351.51800000000003,0.22352,34
2019-02-03 02:30:00,0.0,-300.0,284.0,0.0,-200.0,3.0,0.0,24.0,7.255557536000005,0.098,0.0,60.594,351.495,0.15914624,34
2019-02-03 02:45:00,0.0,-300.0,284.0,0.0,-200.0,3.0,0.0,23.0,,,0.0,,,,34
2019-02-03 02:45:01,,,,,,,,,6.350001908000003,0.195,,65.1,351.51800000000003,0.03084576,34
2019-02-03 03:00:00,0.0,-300.0,284.0,0.0,-200.0,3.0,0.0,23.0,6.072224108000004,0.098,0.0,66.444,351.51800000000003,0.0473862399999999,34
2019-02-03 03:15:00,0.0,-300.0,284.0,0.0,0.0,3.0,0.0,23.0,,,0.0,,,,34
2019-02-03 03:15:01,,,,,,,,,7.172224196000002,0.098,,66.75,351.51800000000003,0.43318176,34
2019-02-03 03:30:00,0.0,-200.0,283.0,0.0,-200.0,3.0,0.0,23.0,,,0.0,,,,34
2019-02-03 03:30:01,,,,,,,,,7.677779792000002,0.195,,64.712,351.51800000000003,0.5337657599999999,34
2019-02-03 03:45:00,0.0,-200.0,283.0,0.0,-200.0,3.0,0.0,23.0,,,0.0,,,,34
2019-02-03 03:45:01,,,,,,,,,7.4333353280000045,0.098,,65.794,351.495,0.3156102399999999,34
2019-02-03 04:00:00,0.0,-300.0,282.0,0.0,-200.0,3.0,0.0,23.0,7.600002008000003,0.195,0.0,64.525,351.495,1.0728959999999998,34
2019-02-03 04:15:00,0.0,-200.0,283.0,0.0,-200.0,3.0,0.0,23.0,,,0.0,,,,34
