measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,module_temp_f__2689,poa_irradiance__2679,power_factor_1000__2693,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691,system_id
2019-01-14 00:00:00,0.0,-300.0,285.0,0.0,-200.0,7.0,0.0,28.0,4.666668440000001,0.195,0.0,49.169,351.472,0.02816352,34
2019-01-14 00:15:00,0.0,-300.0,284.0,0.0,-200.0,6.0,0.0,28.0,4.322223968000003,0.0,0.0,49.919,351.472,0.02816352,34
2019-01-14 00:30:00,0.0,-200.0,284.0,0.0,-200.0,12.0,0.0,28.0,,,0.0,,,,34
2019-01-14 00:30:01,,,,,,,,,3.3166683320000026,0.098,,51.506,351.495,0.02816352,34
2019-01-14 00:45:00,0.0,-200.0,284.0,0.0,-200.0,14.0,0.0,27.0,3.0055571960000016,0.098,0.0,53.456,351.495,0.02816352,34
2019-01-14 01:00:00,0.0,-200.0,284.0,0.0,-200.0,14.0,0.0,27.0,3.422223896000002,0.098,0.0,53.513000000000005,351.495,0.02816352,34
2019-01-14 01:15:00,0.0,-300.0,283.0,0.0,-200.0,13.0,0.0,27.0,3.938890604000005,0.0,0.0,53.369,351.495,0.02816352,34
2019-01-14 01:30:00,0.0,-300.0,283.0,0.0,-200.0,10.0,0.0,27.0,4.016668388,0.098,0.0,53.275,351.495,0.02816352,34
2019-01-14 01:45:00,0.0,-200.0,283.0,0.0,-200.0,6.0,0.0,26.0,3.538890572,0.195,0.0,54.013000000000005,351.495,0.02816352,34
2019-01-14 02:00:00,0.0,-200.0,283.0,0.0,-200.0,4.0,0.0,26.0,,,0.0,,,,34
2019-01-14 02:00:01,,,,,,,,,2.6611127240000023,0.098,,54.813,351.495,0.02816352,34
2019-01-14 02:15:00,0.0,-200.0,283.0,0.0,-200.0,5.0,0.0,26.0,1.316668172,0.098,0.0,57.3,351.54,0.03084576,34
2019-01-14 02:30:00,0.0,-300.0,283.0,0.0,-200.0,5.0,0.0,26.0,0.2500014200000038,0.0,0.0,59.363,351.51800000000003,0.01966976,34
2019-01-14 02:45:00,0.0,-300.0,283.0,0.0,-200.0,9.0,0.0,26.0,,,0.0,,,,34
2019-01-14 02:45:01,,,,,,,,,0.3111125360000031,0.0,,60.781000000000006,351.54,0.022352,34
2019-01-14 03:00:00,0.0,-200.0,283.0,0.0,-200.0,11.0,0.0,25.0,1.2000014959999987,0.098,0.0,59.475,351.54,0.03084576,34
2019-01-14 03:15:00,0.0,-200.0,283.0,0.0,-200.0,13.0,0.0,25.0,,,0.0,,,,34
2019-01-14 03:15:01,,,,,,,,,2.3277793640000013,0.0,,58.556,351.54,0.02816352,34
2019-01-14 03:30:00,0.0,-200.0,282.0,0.0,0.0,11.0,0.0,25.0,,,0.0,,,,34
2019-01-14 03:30:01,,,,,,,,,3.5722239080000016,0.0,,56.588,351.51800000000003,0.02816352,34
2019-01-14 03:45:00,0.0,-200.0,282.0,0.0,-200.0,7.0,0.0,25.0,4.138890620000005,0.0,0.0,56.094,351.51800000000003,0.02816352,34
2019-01-14 04:00:00,0.0,-200.0,282.0,0.0,-200.0,5.0,0.0,25.0,3.600001687999999,0.0,0.0,56.513000000000005,351.51800000000003,0.02816352,34
2019-01-14 04:15:00,0.0,-200.0,282.0,0.0,-200.0,4.0,0.0,24.0,3.300001664,0.0,0.0,57.775,351.51800000000003,0.02816352,34
2019-01-14 04:30:00,0.0,-300.0,281.0,0.0,-200.0,5.0,0.0,24.0,,,0.0,,,,34
2019-01-14 04:30:01,,,,,,,,,2.805557180000001,0.0,,58.794,351.54,0.02816352,34
2019-01-14 04:45:00,0.0,-200.0,281.0,0.0,-200.0,4.0,0.0,24.0,,,0.0,,,,34
2019-01-14 04:45:01,,,,,,,,,2.0944460120000024,0.0,,59.719,351.56300000000005,0.02816352,34
2019-01-14 05:00:00,0.0,-200.0,282.0,0.0,-200.0,5.0,0.0,24.0,,,0.0,,,,34
2019-01-14 05:00:01,,,,,,,,,1.394445956000002,0.0,,62.087,351.56300000000005,0.03084576,34
2019-01-14 05:15:00,0.0,-200.0,282.0,0.0,-200.0,7.0,0.0,24.0,,,0.0,,,,34
2019-01-14 05:15:03,,,,,,,,,1.3777792879999993,0.0,,61.475,351.56300000000005,0.02816352,34
2019-01-14 05:30:00,0.0,-200.0,282.0,0.0,-200.0,10.0,0.0,24.0,,,0.0,,,,34
2019-01-14 05:30:01,,,,,,,,,1.6388904200000027,0.0,,61.056,351.585,0.0,34
2019-01-14 05:45:00,0.0,-200.0,281.0,0.0,-200.0,9.0,0.0,23.0,,,0.0,,,,34
2019-01-14 05:45:01,,,,,,,,,1.7722237639999996,,,60.1,351.585,0.0,34
2019-01-14 06:00:00,0.0,-200.0,281.0,0.0,-200.0,9.0,0.0,23.0,,,0.0,,,,34
2019-01-14 06:00:01,,,,,,,,,1.0722237080000028,0.0,,60.675,351.585,0.0,34
2019-01-14 06:15:00,0.0,-300.0,282.0,0.0,-200.0,38.0,0.0,23.0,,,0.0,,,,34
2019-01-14 06:15:01,,,,,,,,,0.4388903240000026,0.0,,62.031000000000006,351.585,0.0,34
2019-01-14 06:30:00,0.0,-200.0,281.0,0.0,-200.0,276.0,0.0,23.0,-0.2888875119999987,0.0,0.0,63.225,351.56300000000005,0.0,34
2019-01-14 06:45:00,3.0,-600.0,282.0,0.0,200.0,294.0,0.0,24.0,,,0.159,,,,34
2019-01-14 06:45:01,,,,,,,,,-0.4444430799999992,0.5859999999999999,,63.831,351.585,0.0,34
2019-01-14 07:00:00,5.0,3200.0,282.0,11.0,4400.0,401.0,0.0,31.0,,,0.7049999999999998,,,,34
2019-01-14 07:00:01,,,,,,,,,-0.2999986239999969,19.434,,63.981,351.585,0.0,34
2019-01-14 07:15:00,8.0,6400.0,282.0,19.0,7800.0,409.0,0.0,38.0,1.2388903880000015,43.164,0.888,62.263000000000005,351.585,0.0,34
2019-01-14 07:30:00,13.0,11700.0,283.0,31.0,13200.0,420.0,0.0,48.0,,,0.966,,,,34
2019-01-14 07:30:01,,,,,,,,,3.1000016480000028,57.129,,59.731,351.585,0.0,34
2019-01-14 07:45:00,20.0,18000.0,283.0,47.0,19900.0,419.0,0.0,53.0,5.027779580000001,89.74600000000001,0.985,56.863,351.56300000000005,0.0,34
2019-01-14 08:00:00,35.0,30900.0,283.0,78.0,33600.0,428.0,0.0,53.0,6.872224172000003,113.672,0.995,52.644,351.54,0.0,34
2019-01-14 08:15:00,17.0,14700.0,282.0,41.0,16300.0,396.0,0.0,53.0,8.705557652000003,160.84,0.981,50.037,351.51800000000003,0.0,34
2019-01-14 08:30:00,20.0,18000.0,282.0,47.0,19800.0,412.0,0.0,53.0,10.061113316000004,208.008,0.985,48.206,351.495,0.0,34
2019-01-14 08:45:00,13.0,11800.0,282.0,34.0,13300.0,387.0,0.0,53.0,11.244446744000005,127.93,0.956,45.9,351.472,0.0,34
2019-01-14 09:00:00,23.0,19800.0,282.0,52.0,21700.0,415.0,0.0,53.0,,,0.986,,,,34
2019-01-14 09:00:01,,,,,,,,,10.316668892000004,140.332,,46.906000000000006,351.472,0.0,34
2019-01-14 09:15:00,28.0,24300.0,283.0,65.0,26400.0,404.0,0.0,54.0,11.850002348,239.355,0.994,46.15,351.472,0.0,34
2019-01-14 09:30:00,34.0,29200.0,282.0,76.0,31700.0,416.0,0.0,54.0,13.644446936000003,250.586,0.995,44.669,351.472,0.0,34
2019-01-14 09:45:00,31.0,26700.0,282.0,70.0,29000.0,411.0,0.0,54.0,,,0.994,,,,34
2019-01-14 09:45:01,,,,,,,,,13.388891360000002,225.879,,44.0,351.45,0.0,34
2019-01-14 10:00:00,47.0,40600.0,282.0,107.0,43400.0,402.0,0.0,55.0,,,0.999,,,,34
2019-01-14 10:00:01,,,,,,,,,13.872224732000005,301.465,,41.644,351.45,0.0,34
2019-01-14 10:15:00,40.0,34500.0,282.0,92.0,36900.0,401.0,0.0,54.0,16.566669392000005,288.086,0.996,38.6,351.405,0.0,34
2019-01-14 10:30:00,38.0,32500.0,282.0,90.0,34800.0,384.0,0.0,55.0,18.272225084,312.891,0.995,37.687,351.38300000000004,0.0,34
2019-01-14 10:45:00,34.0,29000.0,283.0,77.0,31500.0,405.0,0.0,55.0,19.077780704,258.887,0.99,36.769,351.36,0.0,34
2019-01-14 11:00:00,46.0,40200.0,284.0,108.0,43000.0,395.0,0.0,54.0,,,0.999,,,,34
2019-01-14 11:00:01,,,,,,,,,19.13889182000001,370.117,,35.888000000000005,351.36,0.0,34
2019-01-14 11:15:00,26.0,22600.0,284.0,62.0,24500.0,394.0,0.0,52.0,20.33333636,318.848,0.993,34.831,351.315,0.0,34
2019-01-14 11:30:00,25.0,22000.0,284.0,62.0,23700.0,383.0,0.0,54.0,18.961114028,208.203,0.987,34.613,351.315,0.0,34
2019-01-14 11:45:00,53.0,46300.0,284.0,124.0,49400.0,398.0,0.0,53.0,17.761113932000004,302.539,0.999,35.619,351.315,0.0,34
2019-01-14 12:00:00,39.0,33800.0,284.0,89.0,36700.0,408.0,0.0,55.0,18.300002864000003,357.227,0.991,34.775,351.315,0.0840435199999999,34
2019-01-14 12:15:00,43.0,37600.0,284.0,99.0,40500.0,405.0,0.0,54.0,17.100002768000007,332.031,0.996,35.413000000000004,351.315,0.10907776,34
2019-01-14 12:30:00,59.0,51300.0,284.0,136.0,54800.0,400.0,0.0,55.0,16.594447172,346.582,0.999,35.219,351.315,0.14260576,34
2019-01-14 12:45:00,39.0,34200.0,284.0,93.0,36500.0,391.0,0.0,53.0,,,0.995,,,,34
2019-01-14 12:45:01,,,,,,,,,17.350002788,354.785,,34.669000000000004,351.293,0.1367942399999999,34
2019-01-14 13:00:00,35.0,30500.0,285.0,83.0,32800.0,395.0,0.0,54.0,,,0.995,,,,34
2019-01-14 13:00:01,,,,,,,,,16.427780492,282.813,,35.2,351.315,0.290576,34
2019-01-14 13:15:00,30.0,26000.0,285.0,71.0,28000.0,391.0,0.0,54.0,15.772224884000009,250.781,0.989,35.65,351.293,0.10326624,34
2019-01-14 13:30:00,14.0,12400.0,285.0,35.0,14000.0,393.0,0.0,53.0,,,0.968,,,,34
2019-01-14 13:30:01,,,,,,,,,15.738891548000002,152.637,,35.094,351.293,0.06169152,34
2019-01-14 13:45:00,18.0,16300.0,284.0,45.0,17800.0,394.0,0.0,54.0,14.688891464000005,117.285,0.975,36.375,351.315,0.06437376,34
2019-01-14 14:00:00,15.0,12900.0,283.0,36.0,14400.0,395.0,0.0,53.0,,,0.959,,,,34
2019-01-14 14:00:01,,,,,,,,,14.183335868000004,104.004,,37.056,351.338,0.0724204799999999,34
2019-01-14 14:15:00,12.0,10500.0,283.0,31.0,12000.0,385.0,0.0,53.0,,,0.951,,,,34
2019-01-14 14:15:01,,,,,,,,,13.883335844000005,98.535,,37.513000000000005,351.338,0.3491382399999999,34
2019-01-14 14:30:00,13.0,11300.0,283.0,34.0,12600.0,374.0,0.0,53.0,13.416669140000003,82.51999999999998,0.954,38.369,351.338,0.201168,34
2019-01-14 14:45:00,11.0,9500.0,283.0,30.0,10900.0,360.0,0.0,53.0,,,0.921,,,,34
2019-01-14 14:45:01,,,,,,,,,13.350002468000003,93.945,,38.994,351.36,0.25436576,34
2019-01-14 15:00:00,10.0,8300.0,284.0,27.0,9400.0,347.0,0.0,53.0,13.377780248,92.773,0.911,39.319,351.36,0.100584,34
2019-01-14 15:15:00,9.0,7000.0,283.0,22.0,8100.0,358.0,0.0,53.0,,,0.881,,,,34
2019-01-14 15:15:01,,,,,,,,,13.394446916000003,76.75799999999998,,39.2,351.36,0.13992352,34
2019-01-14 15:30:00,4.0,2200.0,284.0,9.0,3300.0,365.0,0.0,52.0,,,0.548,,,,34
2019-01-14 15:30:01,,,,,,,,,13.233335792000002,39.258,,40.269,351.36,0.0084937599999999,34
2019-01-14 15:45:00,4.0,1600.0,283.0,7.0,2700.0,374.0,0.0,51.0,12.794446868000003,33.984,0.413,40.931,351.36,0.0,34
2019-01-14 16:00:00,3.0,200.0,284.0,3.0,1400.0,387.0,0.0,51.0,12.300002384000004,15.723,0.079,42.994,351.38300000000004,0.0,34
2019-01-14 16:15:00,3.0,-200.0,283.0,2.0,600.0,298.0,0.0,51.0,11.744446784000004,9.277,0.0379999999999999,43.438,351.38300000000004,0.0,34
2019-01-14 16:30:00,0.0,-200.0,283.0,0.0,-200.0,390.0,0.0,46.0,11.477780096,4.785,0.0,42.731,351.38300000000004,0.0,34
2019-01-14 16:45:00,0.0,-300.0,282.0,0.0,-200.0,319.0,0.0,45.0,,,0.0,,,,34
2019-01-14 16:45:01,,,,,,,,,11.105557844000003,1.953,,43.013000000000005,351.405,0.0,34
2019-01-14 17:00:00,0.0,-300.0,282.0,0.0,-200.0,220.0,0.0,41.0,10.488891128000006,,0.0,47.725,351.405,0.0,34
2019-01-14 17:15:00,0.0,-200.0,282.0,0.0,-200.0,61.0,0.0,38.0,,,0.0,,,,34
2019-01-14 17:15:01,,,,,,,,,9.211113248,0.195,,58.3,351.42800000000005,0.05319776,34
2019-01-14 17:30:00,0.0,-200.0,282.0,0.0,-200.0,43.0,0.0,37.0,8.561113196,0.098,0.0,67.363,346.185,0.0,34
2019-01-14 17:45:00,0.0,-200.0,282.0,0.0,-200.0,40.0,0.0,36.0,8.100002048,0.195,0.0,75.2,250.875,0.0,34
2019-01-14 18:00:00,0.0,-200.0,282.0,0.0,-200.0,41.0,0.0,35.0,7.866668696000001,0.2929999999999999,0.0,78.59999999999998,209.768,0.0,34
2019-01-14 18:15:00,0.0,-200.0,282.0,0.0,-200.0,41.0,0.0,34.0,,,0.0,,,,34
2019-01-14 18:15:01,,,,,,,,,7.677779792000002,0.195,,83.04999999999998,238.275,0.0,34
2019-01-14 18:30:00,0.0,-200.0,282.0,0.0,-200.0,40.0,0.0,33.0,,,0.0,,,,34
2019-01-14 18:30:01,,,,,,,,,7.672224236000004,0.195,,84.956,268.853,0.0,34
2019-01-14 18:45:00,0.0,-200.0,282.0,0.0,-200.0,40.0,0.0,33.0,7.650002012000005,0.098,0.0,86.59399999999998,280.733,0.0169875199999999,34
2019-01-14 19:00:00,0.0,-200.0,282.0,0.0,-200.0,38.0,0.0,32.0,,,0.0,,,,34
2019-01-14 19:00:01,,,,,,,,,7.466668664,0.195,,90.025,272.07,0.0,34
2019-01-14 19:15:00,0.0,-200.0,282.0,0.0,-200.0,39.0,0.0,32.0,7.3777797680000035,0.195,0.0,93.0,306.922,0.0,34
2019-01-14 19:30:00,0.0,-300.0,283.0,0.0,-200.0,38.0,0.0,31.0,7.366668656000002,0.195,0.0,95.581,313.088,0.0,34
2019-01-14 19:45:00,0.0,-200.0,282.0,0.0,-200.0,39.0,0.0,31.0,7.366668656000002,0.195,0.0,96.525,320.648,0.0,34
2019-01-14 20:00:00,0.0,-200.0,282.0,0.0,-200.0,38.0,0.0,31.0,7.344446432000002,0.195,0.0,96.944,334.732,0.0,34
2019-01-14 20:15:00,0.0,-200.0,282.0,0.0,-200.0,38.0,0.0,30.0,7.283335316000001,0.195,0.0,97.044,322.583,0.0,34
2019-01-14 20:30:00,0.0,-200.0,282.0,0.0,-200.0,38.0,0.0,30.0,,,0.0,,,,34
2019-01-14 20:30:01,,,,,,,,,7.316668652000003,0.098,,97.113,346.725,0.0,34
2019-01-14 20:45:00,0.0,-200.0,282.0,0.0,-200.0,37.0,0.0,29.0,7.194446420000006,0.195,0.0,97.194,351.51800000000003,0.0,34
2019-01-14 21:00:00,0.0,-300.0,282.0,0.0,-200.0,37.0,0.0,29.0,7.127779748000002,0.195,0.0,98.113,351.51800000000003,0.0,34
2019-01-14 21:15:00,0.0,-300.0,283.0,0.0,-200.0,35.0,0.0,29.0,7.233335312000003,0.195,0.0,98.775,351.51800000000003,0.0,34
2019-01-14 21:30:00,0.0,-300.0,283.0,0.0,-200.0,31.0,0.0,28.0,7.238890868000001,0.098,0.0,98.819,351.472,0.03084576,34
2019-01-14 21:45:00,0.0,-300.0,284.0,0.0,-200.0,32.0,0.0,28.0,7.238890868000001,0.0,0.0,98.838,350.25800000000004,0.03084576,34
2019-01-14 22:00:00,0.0,-300.0,284.0,0.0,-200.0,33.0,0.0,28.0,7.288890871999999,0.0,0.0,98.931,345.75800000000004,0.03084576,34
2019-01-14 22:15:00,0.0,-200.0,285.0,0.0,-200.0,34.0,0.0,28.0,,,0.0,,,,34
2019-01-14 22:15:01,,,,,,,,,7.383335324,0.098,,98.719,339.84,0.03084576,34
2019-01-14 22:30:00,0.0,-200.0,285.0,0.0,-200.0,36.0,0.0,27.0,7.405557548000002,0.098,0.0,98.194,335.67800000000005,0.03084576,34
2019-01-14 22:45:00,0.0,-200.0,284.0,0.0,-200.0,34.0,0.0,27.0,7.3222242080000015,0.098,0.0,97.394,330.12,0.03084576,34
2019-01-14 23:00:00,0.0,-300.0,285.0,0.0,-200.0,32.0,0.0,27.0,7.238890868000001,0.098,0.0,97.206,339.99800000000005,0.03084576,34
2019-01-14 23:15:00,0.0,-300.0,285.0,0.0,-200.0,32.0,0.0,27.0,7.25000198,0.098,0.0,97.838,350.798,0.03084576,34
2019-01-14 23:30:00,0.0,-200.0,285.0,0.0,-200.0,24.0,0.0,26.0,7.3777797680000035,0.0,0.0,98.344,351.20300000000003,0.03084576,34
2019-01-14 23:45:00,0.0,-300.0,285.0,0.0,-200.0,27.0,0.0,26.0,7.472224220000003,,0.0,98.288,351.472,0.02816352,34
