measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,ambient_temp_f__2688,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,module_temp_f__2689,poa_irradiance__2679,power_factor_1000__2693,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691,system_id
2019-01-03 00:00:00,0.0,-200.0,284.0,,0.0,-200.0,4.0,0.0,28.0,-6.166665759999999,0.0,0.0,44.906000000000006,351.675,0.0,34
2019-01-03 00:15:00,0.0,-300.0,283.0,,0.0,-200.0,4.0,0.0,28.0,-6.716665803999998,,0.0,45.6,351.675,0.0,34
2019-01-03 00:30:00,0.0,-300.0,283.0,,0.0,-200.0,4.0,0.0,28.0,-6.5499991239999975,0.0,0.0,46.031000000000006,351.69800000000004,0.0,34
2019-01-03 00:45:00,0.0,-300.0,284.0,,0.0,-200.0,4.0,0.0,27.0,-7.049999163999999,0.0,0.0,46.088,351.69800000000004,0.0,34
2019-01-03 01:00:00,0.0,-300.0,284.0,,0.0,-200.0,4.0,0.0,27.0,-7.4499991959999985,0.0,0.0,46.85,351.69800000000004,0.0,34
2019-01-03 01:15:00,0.0,-300.0,284.0,,0.0,-200.0,4.0,0.0,27.0,-7.038888051999999,0.0,0.0,46.206,351.72,0.0,34
2019-01-03 01:30:00,0.0,-300.0,284.0,,0.0,-200.0,4.0,0.0,27.0,,,0.0,,,,34
2019-01-03 01:30:01,,,,,,,,,,-6.683332468,0.0,,44.613,351.69800000000004,0.0,34
2019-01-03 01:45:00,0.0,-200.0,284.0,,0.0,-200.0,4.0,0.0,26.0,-7.172221395999998,0.0,0.0,46.444,351.72,0.0,34
2019-01-03 02:00:00,0.0,-200.0,284.0,,0.0,-200.0,4.0,0.0,26.0,,,0.0,,,,34
2019-01-03 02:00:01,,,,,,,,,,-5.9166657399999965,0.0,,47.363,351.69800000000004,0.0,34
2019-01-03 02:15:00,0.0,-200.0,284.0,,0.0,-200.0,4.0,0.0,26.0,,,0.0,,,,34
2019-01-03 02:15:01,,,,,,,,,,-5.711110168,0.0,,47.925,351.72,0.0,34
2019-01-03 02:30:00,0.0,-200.0,283.0,,0.0,-200.0,4.0,0.0,26.0,,,0.0,,,,34
2019-01-03 02:30:01,,,,,,,,,,-5.588887935999997,0.0,,48.556,351.69800000000004,0.0,34
2019-01-03 02:45:00,0.0,-300.0,283.0,,0.0,-200.0,4.0,0.0,25.0,-5.127776787999999,0.0,0.0,48.938,351.72,0.0,34
2019-01-03 03:00:00,0.0,-200.0,283.0,,0.0,-200.0,4.0,0.0,25.0,-4.988887887999999,0.0,0.0,49.95,351.72,0.0,34
2019-01-03 03:15:00,0.0,-200.0,283.0,,0.0,-200.0,4.0,0.0,25.0,,,0.0,,,,34
